label,req_id,total_time,total_steps,prompt_len,block_length,max_block_t,min_block_t,std_block_t,n_blocks,tps
B=16,0,6.606164835044183,,76,16,0,0,0,20,48.43960270298944
B=16,1,3.970502587966621,,39,16,0,0,0,12,48.35659862856991
B=16,2,7.323709824006073,,70,16,0,0,0,22,48.06307301337832
B=16,3,5.242731811013073,,48,16,0,0,0,16,48.8295051564982
B=16,4,5.811305915936828,,123,16,0,0,0,18,49.558568102600425
B=16,5,10.560042487923056,,69,16,0,0,0,32,48.48465340793339
B=16,6,5.2881687440676615,,56,16,0,0,0,16,48.4099529326072
B=16,7,9.232963335933164,,83,16,0,0,0,28,48.52179995738294
B=16,8,9.932617487036623,,117,16,0,0,0,30,48.32563024061516
B=16,9,5.971858219010755,,72,16,0,0,0,18,48.22619517040502
B=16,10,5.347912591067143,,73,16,0,0,0,16,47.869144388711256
B=16,11,5.906878621084616,,75,16,0,0,0,18,48.75671542868401
B=16,12,7.9221978730056435,,80,16,0,0,0,24,48.47139722531473
B=16,13,10.106913896976039,,71,16,0,0,0,30,47.49224193387209
B=16,14,9.938483944046311,,65,16,0,0,0,30,48.29710473975721
B=16,15,9.227751607075334,,107,16,0,0,0,28,48.54920451656915
B=16,16,5.890053758979775,,66,16,0,0,0,18,48.89598835340425
B=16,17,9.118179213022813,,70,16,0,0,0,28,49.13261623111718
B=16,18,6.513748418074101,,40,16,0,0,0,20,49.12685898523133
B=16,19,9.873883582069539,,78,16,0,0,0,30,48.6130908887416
B=16,20,9.885730747017078,,76,16,0,0,0,30,48.55483244319954
B=16,21,7.9819315649801865,,59,16,0,0,0,24,48.108656015638644
B=16,22,5.308321140008047,,68,16,0,0,0,16,48.22617043090425
B=16,23,5.374600669951178,,51,16,0,0,0,16,47.63144570558866
B=16,24,5.883608356001787,,52,16,0,0,0,18,48.94955316089577
B=16,25,9.264777392963879,,80,16,0,0,0,28,48.35518232097329
B=16,26,5.973362046061084,,82,16,0,0,0,18,48.21405395809067
B=16,27,6.565980797982775,,72,16,0,0,0,20,48.73605480209623
B=16,28,5.286269589094445,,63,16,0,0,0,16,48.42734478168254
B=16,29,6.649622159078717,,82,16,0,0,0,20,48.12303501532107
B=16,30,6.651954803033732,,52,16,0,0,0,20,48.10615968918773
B=16,31,7.341954353032634,,76,16,0,0,0,22,47.94363776650348
B=32,0,6.592841041041538,,76,32,0,0,0,10,48.537496658564415
B=32,1,4.02781124797184,,39,32,0,0,0,6,47.668569398995416
B=32,2,7.350833900971338,,70,32,0,0,0,11,47.8857235440304
B=32,3,5.345523461932316,,48,32,0,0,0,8,47.89053903197355
B=32,4,5.88873025693465,,123,32,0,0,0,9,48.90697780915457
B=32,5,10.464445781079121,,69,32,0,0,0,16,48.92757922505106
B=32,6,5.340358318062499,,56,32,0,0,0,8,47.93685830670585
B=32,7,9.234423581976444,,83,32,0,0,0,14,48.514127170254255
B=32,8,9.96521416399628,,117,32,0,0,0,15,48.16755486642838
B=32,9,5.898821668000892,,72,32,0,0,0,9,48.8233101811337
B=32,10,5.334978807950392,,73,32,0,0,0,8,47.98519529608981
B=32,11,5.967784905922599,,75,32,0,0,0,9,48.25911197204521
B=32,12,7.952303966972977,,80,32,0,0,0,12,48.287892615122026
B=32,13,10.069592948071659,,71,32,0,0,0,15,47.66826250825965
B=32,14,9.98205302702263,,65,32,0,0,0,15,48.08630035330224
B=32,15,9.387549143983051,,107,32,0,0,0,14,47.722786121140636
B=32,16,6.004662603954785,,66,32,0,0,0,9,47.962728132354634
B=32,17,9.211843664990738,,70,32,0,0,0,14,48.6330441866493
B=32,18,6.608981135999784,,40,32,0,0,0,10,48.41896101910896
B=32,19,10.009108386002481,,78,32,0,0,0,15,47.95631953304347
B=32,20,9.909759129048325,,76,32,0,0,0,15,48.43710061458339
B=32,21,7.918563220999204,,59,32,0,0,0,12,48.49364578938665
B=32,22,5.209940871922299,,68,32,0,0,0,8,49.13683404348201
B=32,23,5.278350600041449,,51,32,0,0,0,8,48.49999922286135
B=32,24,5.9556926840450615,,52,32,0,0,0,9,48.357095518298735
B=32,25,9.178516851970926,,80,32,0,0,0,14,48.80962874778618
B=32,26,5.998855456942692,,82,32,0,0,0,9,48.00915809143012
B=32,27,6.601024679024704,,72,32,0,0,0,10,48.47732216739413
B=32,28,5.236230795038864,,63,32,0,0,0,8,48.89012918272254
B=32,29,6.581738470005803,,82,32,0,0,0,10,48.619373355276736
B=32,30,6.534092471003532,,52,32,0,0,0,10,48.97390133673041
B=32,31,7.214548040996306,,76,32,0,0,0,11,48.79030508907526
B=64,0,6.527978264959529,,76,64,0,0,0,5,49.0197710549491
B=64,1,3.9921850659884512,,39,64,0,0,0,3,48.09396278638236
B=64,2,7.228276822948828,,70,64,0,0,0,5,48.697636881095406
B=64,3,5.3264225089224055,,48,64,0,0,0,4,48.06227811841229
B=64,4,5.954249385977164,,123,64,0,0,0,4,48.36881718093098
B=64,5,10.656930879107676,,69,64,0,0,0,8,48.04385106820461
B=64,6,5.218872931902297,,56,64,0,0,0,4,49.052736738445006
B=64,7,9.264529015985318,,83,64,0,0,0,7,48.356478697082856
B=64,8,9.975091283908114,,117,64,0,0,0,7,48.11986039409377
B=64,9,5.999703150941059,,72,64,0,0,0,4,48.002374909969824
B=64,10,5.2594734149752185,,73,64,0,0,0,4,48.674074341947446
B=64,11,5.9168441880028695,,75,64,0,0,0,4,48.67459592462406
B=64,12,7.991518830996938,,80,64,0,0,0,6,48.050941018942225
B=64,13,10.031031460966915,,71,64,0,0,0,7,47.851509774223324
B=64,14,10.02170149399899,,65,64,0,0,0,7,47.8960583976109
B=64,15,9.329058940988034,,107,64,0,0,0,7,48.021992661196826
B=64,16,5.941414450993761,,66,64,0,0,0,4,48.47330587278407
B=64,17,9.252421685028821,,70,64,0,0,0,7,48.41975595696215
B=64,18,6.634788341005333,,40,64,0,0,0,5,48.23062674392898
B=64,19,9.965058934059925,,78,64,0,0,0,7,48.16830519279631
B=64,20,9.994065864011645,,76,64,0,0,0,7,48.028500765485916
B=64,21,7.853929718956351,,59,64,0,0,0,6,48.892721699962806
B=64,22,5.2715913590509444,,68,64,0,0,0,4,48.56218598212594
B=64,23,5.274238978046924,,51,64,0,0,0,4,48.537808215659965
B=64,24,5.915781697956845,,52,64,0,0,0,4,48.68333801084438
B=64,25,9.212369111948647,,80,64,0,0,0,7,48.63027029810758
B=64,26,5.991229800041765,,82,64,0,0,0,4,48.07026430500001
B=64,27,6.564485037932172,,72,64,0,0,0,5,48.747159624999426
B=64,28,5.292622700915672,,63,64,0,0,0,4,48.36921399209312
B=64,29,6.603005969082005,,82,64,0,0,0,5,48.46277612020523
